00000000011110001	[192 + 1, 194 + 1, 17]
00000000111100011	[192 + 2, 194 + 2, 17]
00000001111000110	[192 + 3, 194 + 3, 17]
00000011110001101	[192 + 4, 194 + 4, 17]
00000111100011011	[192 + 5, 194 + 5, 17]
00001111000110110	[192 + 6, 194 + 6, 17]
00011110001101101	[192 + 7, 194 + 7, 17]
00111100011011010	[192 + 8, 194 + 8, 17]	[1376 + 5, 1378 + 5, 17]
01111000110110101	[193 + 1, 195 + 1, 17]	[1376 + 6, 1378 + 6, 17]
11110001101101010	[193 + 2, 195 + 2, 17]
11100011011010100	[193 + 3, 195 + 3, 17]
11000110110101001	[193 + 4, 195 + 4, 17]
10001101101010011	[193 + 5, 195 + 5, 17]
00011011010100111	[193 + 6, 195 + 6, 17]
00110110101001110	[193 + 7, 195 + 7, 17]
01101101010011100	[193 + 8, 195 + 8, 17]
11011010100111001	[194 + 1, 196 + 1, 17]
10110101001110010	[194 + 2, 196 + 2, 17]
01101010011100100	[194 + 3, 196 + 3, 17]
11010100111001001	[194 + 4, 196 + 4, 17]
10101001110010011	[194 + 5, 196 + 5, 17]
01010011100100110	[194 + 6, 196 + 6, 17]
10100111001001100	[194 + 7, 196 + 7, 17]
01001110010011000	[194 + 8, 196 + 8, 17]
10011100100110001	[195 + 1, 197 + 1, 17]
00111001001100011	[195 + 2, 197 + 2, 17]
01110010011000110	[195 + 3, 197 + 3, 17]
11100100110001100	[195 + 4, 197 + 4, 17]
11001001100011001	[195 + 5, 197 + 5, 17]
10010011000110010	[195 + 6, 197 + 6, 17]
00100110001100101	[195 + 7, 197 + 7, 17]
01001100011001011	[195 + 8, 197 + 8, 17]
10011000110010110	[196 + 1, 198 + 1, 17]
00110001100101101	[196 + 2, 198 + 2, 17]
01100011001011011	[196 + 3, 198 + 3, 17]
11000110010110110	[196 + 4, 198 + 4, 17]
10001100101101101	[196 + 5, 198 + 5, 17]
00011001011011011	[196 + 6, 198 + 6, 17]
00110010110110111	[196 + 7, 198 + 7, 17]
01100101101101110	[196 + 8, 198 + 8, 17]	[258 + 8, 260 + 8, 17]
11001011011011100	[197 + 1, 199 + 1, 17]
10010110110111000	[197 + 2, 199 + 2, 17]
00101101101110000	[197 + 3, 199 + 3, 17]
01011011011100001	[197 + 4, 199 + 4, 17]
10110110111000011	[197 + 5, 199 + 5, 17]
01101101110000110	[197 + 6, 199 + 6, 17]
11011011100001101	[197 + 7, 199 + 7, 17]
10110111000011011	[197 + 8, 199 + 8, 17]
01101110000110110	[198 + 1, 200 + 1, 17]
11011100001101100	[198 + 2, 200 + 2, 17]
10111000011011001	[198 + 3, 200 + 3, 17]
01110000110110011	[198 + 4, 200 + 4, 17]
11100001101100110	[198 + 5, 200 + 5, 17]
11000011011001101	[198 + 6, 200 + 6, 17]
10000110110011011	[198 + 7, 200 + 7, 17]
00001101100110111	[198 + 8, 200 + 8, 17]
00011011001101110	[199 + 1, 201 + 1, 17]
00110110011011100	[199 + 2, 201 + 2, 17]
01101100110111000	[199 + 3, 201 + 3, 17]
11011001101110001	[199 + 4, 201 + 4, 17]
10110011011100010	[199 + 5, 201 + 5, 17]
01100110111000101	[199 + 6, 201 + 6, 17]
11001101110001010	[199 + 7, 201 + 7, 17]
10011011100010100	[199 + 8, 201 + 8, 17]
00110111000101001	[200 + 1, 202 + 1, 17]
01101110001010010	[200 + 2, 202 + 2, 17]
11011100010100100	[200 + 3, 202 + 3, 17]
10111000101001000	[200 + 4, 202 + 4, 17]
01110001010010000	[200 + 5, 202 + 5, 17]
11100010100100001	[200 + 6, 202 + 6, 17]
11000101001000011	[200 + 7, 202 + 7, 17]
10001010010000110	[200 + 8, 202 + 8, 17]
00010100100001101	[201 + 1, 203 + 1, 17]
